keys,fr
material.feuilles_cerisier.name,Feuilles de cerisier
tree.cerisier.name,Cerisier
material.feuilles_charme.name,Feuilles de charme
tree.charme.name,Charme
material.feuilles_chataignier.name,Feuilles de châtaignier
tree.chataignier.name,Châtaignier
material.feuilles_cypres.name,Feuilles de cyprès
tree.cypres.name,Cyprès
material.feuilles_ebene.name,Feuilles de ébène
tree.ebene.name,Ébène
material.feuilles_epicea.name,Feuilles de épicéa
tree.epicea.name,Épicéa
material.feuilles_erable.name,Feuilles de érable
tree.erable.name,Érable
material.feuilles_eucalyptus.name,Feuilles de eucalyptus
tree.eucalyptus.name,Eucalyptus
material.feuilles_frene.name,Feuilles de frêne
tree.frene.name,Frêne
material.feuilles_gaiac.name,Feuilles de gaïac
tree.gaiac.name,Gaïac
material.feuilles_hetre.name,Feuilles de hêtre
tree.hetre.name,Hêtre
material.feuilles_if.name,Feuilles de if
tree.if.name,If
material.feuilles_liege.name,Feuilles de liège
tree.liege.name,Liège
material.feuilles_meleze.name,Feuilles de mélèze
tree.meleze.name,Mélèze
material.feuilles_noisetier.name,Feuilles de noisetier
tree.noisetier.name,Noisetier
material.feuilles_noyer.name,Feuilles de noyer
tree.noyer.name,Noyer
material.feuilles_olivier.name,Feuilles de olivier
tree.olivier.name,Olivier
material.feuilles_orme.name,Feuilles de orme
tree.orme.name,Orme
material.feuilles_peuplier.name,Feuilles de peuplier
tree.peuplier.name,Peuplier
material.feuilles_platane.name,Feuilles de platane
tree.platane.name,Platane
material.feuilles_pommier.name,Feuilles de pommier
tree.pommier.name,Pommier
material.feuilles_robinier.name,Feuilles de robinier
tree.robinier.name,Robinier
material.feuilles_teck.name,Feuilles de teck
tree.teck.name,Teck
material.feuilles_tilleul.name,Feuilles de tilleul
tree.tilleul.name,Tilleul
biome.taiga.name,Taïga
biome.toundra.name,Toundra
biome.marecage.name,Marécage
biome.cote.name,Côte / plage
biome.mediterraneen.name,Méditerranéen
biome.jungle_tropicale.name,Jungle tropicale
biome.savane.name,Savane
biome.prairie.name,Prairie
biome.foret_tropicale_seche.name,Forêt tropicale sèche
biome.mangrove.name,Mangrove
biome.marais_froid.name,Marais froid
biome.foret_de_mana.name,Forêt de mana
biome.montagne_cristalline.name,Montagne cristalline
material.herbe.name,Herbe
ui.map.zoom_info,Grille : {grille} cellules (128 blocs) — Affichage : {calque}
ui.map.layer.biome,Biome/relief
ui.map.layer.danger,Danger
ui.map.layer.revendications,Revendications
ui.map.layer.exploration,Exploration
material.fleurs.name,Fleurs
material.buisson.name,Buisson
material.fougere.name,Fougère
material.herbe_seche.name,Herbe sèche
biome.calotte_glaciaire.name,Calotte glaciaire
biome.steppe.name,Steppe
biome.foret_mixte.name,Forêt mixte
biome.desert_rocheux.name,Désert rocheux
material.tige_verte.name,Tige verte
material.epi_ble.name,Épi de blé
material.tubercule.name,Tubercule
material.fruit_calebasse.name,Calebasse
material.petale_safran.name,Pétale de safran
material.pistil_safran.name,Pistil de safran
material.epine.name,Épine
material.algue.name,Algue
plant.ble.name,Blé
plant.pomme_de_terre.name,Pomme de terre
plant.calebasse.name,Calebasse
plant.safran.name,Safran
plant.ronces.name,Ronces
plant.algue.name,Algue
ui.toast.cellule_donjon,Un donjon occupe cette cellule — impossible de la revendiquer
ui.toast.partie_sauvegardee,Partie sauvegardée
ui.donjon.titre,⚔ Donjon
ui.donjon.infos,Danger : {danger} · Salles : {salles} · 1 étage
ui.donjon.compte,Entrée dans {secondes} s — reculez pour annuler
ui.donjon.chargement,Génération du donjon...
ui.donjon.danger.0,paisible
ui.donjon.danger.1,dangereuse
ui.donjon.danger.2,mortelle
ui.menu.titre,VOXEN
ui.menu.solo,Solo
ui.menu.multi,Multijoueur
ui.menu.parametres,Paramètres
ui.menu.quitter,Quitter
ui.menu.continuer,Continuer
ui.menu.nouvelle,Nouvelle partie
ui.menu.retour,Retour
ui.menu.distance_affichage,Distance d'affichage
ui.menu.aucun_monde,Aucun monde sauvegardé
ui.menu.nom_monde,Nom du monde
ui.menu.nom_defaut,Nouveau monde
ui.menu.graine,Graine
ui.menu.monde_info,Graine {graine} · Jour {jour}
ui.menu.relief,Relief
ui.menu.niveau_mer,Niveau de la mer
ui.menu.temperature,Température
ui.menu.humidite,Humidité
ui.menu.arbres,Densité d'arbres
ui.menu.rivieres,Rivières
ui.menu.cavernes,Cavernes
ui.menu.biome_force,Biome unique
ui.menu.biome_aucun,— tous les biomes —
ui.menu.creer,Créer et jouer
ui.menu.apercu,Aperçu du monde
ui.menu.spawn_hint,Clic sur la carte = choisir le point de départ
ui.menu.regions,Continents : {continents} · Océans : {oceans}
ui.menu.host,Héberger (monde par défaut)
ui.menu.rejoindre,Rejoindre
ui.menu.ip,Adresse IP
ui.menu.langue,Langue
category.bois.name,Bois
category.cristal.name,Cristal
category.fossile.name,Fossile
category.liquide.name,Liquide
category.meteorologique.name,Météorologique
category.minerai.name,Minerai
category.mineral.name,Minéral
category.roche.name,Roche
category.synthetique.name,Synthétique
category.terre.name,Terre
category.vegetal.name,Végétal
category.gaz.name,Gaz
ui.type.arme,Arme
ui.type.outil,Outil
ui.type.objet,Objet
ui.menu.onglet.personnage,Personnage
ui.menu.onglet.inventaire,Inventaire
ui.menu.onglet.carte,Carte
ui.menu.onglet.royaume,Royaume
ui.menu.onglet.monde,Monde
ui.menu.tri.nom,Nom
ui.menu.tri.categorie,Catégorie
ui.menu.tri.quantite,Quantité
ui.menu.tri.durete,Dureté
ui.menu.tri.densite,Densité
ui.menu.tri.valeur,Valeur
ui.menu.tri.poids,Poids
ui.menu.trier_par,Trier par :
ui.menu.ordre_desc,Décroissant
ui.menu.carte_aide,ZQSD : marcher de case en case (le temps passe) · L : calques · Échap : fermer
ui.menu.ouvrir_carte,Ouvrir la carte
ui.menu.encyclopedie,Encyclopédie
ui.menu.enc.biomes,Biomes
ui.menu.enc.creatures,Créatures
ui.menu.enc.arbres,Arbres
ui.menu.enc.compte,{materiaux} matériaux · {plantes} plantes répertoriés
ui.menu.enc.factions,Factions et autres royaumes : à venir
ui.menu.niveau_combat,Niveau de combat : {niveau}
ui.menu.niveau_general,Niveau général : {niveau}
ui.menu.aucune_competence,Aucune compétence progressée pour l'instant.
ui.menu.royaume_total,Cases revendiquées : {total}
ui.menu.royaume_vide,Aucune case revendiquée (touche V en jeu).
ui.menu.royaume_cases,Cases :
ui.menu.inv_objet_info,{categorie} · qualité {qualite} · dureté {durete} · poids {poids}
ui.menu.inv_mat_info,{categorie} · dureté {durete} · densité {densite} · valeur {valeur}
skill.forge.name,Forge
skill.menuiserie.name,Menuiserie
ui.menu.onglet.craft,Artisanat
ui.menu.craft_aide,Fabrication par recette (voie de base) — choisissez les matériaux.
ui.menu.craft_titre,{nom} — {competence} niv {niveau} · station : {station}
ui.menu.craft_manque,— aucun matériau —
ui.menu.fabriquer,Fabriquer
ui.menu.craft_qualite,Qualité attendue : {palier}
ui.qualite.miserable,Misérable
ui.qualite.pauvre,Pauvre
ui.qualite.correct,Correct
ui.qualite.bon,Bon
ui.qualite.excellent,Excellent
ui.qualite.chef_oeuvre,Chef-d'oeuvre
ui.qualite.legendaire,Légendaire
ui.qualite.mythique,Mythique
ui.station.etabli,Établi
ui.station.forge,Forge
ui.station.aucune,aucune
ui.toast.craft_reussi,Objet fabriqué
race.humain.name,Humain
race.elfe.name,Elfe
race.nain.name,Nain
race.sylvide.name,Sylvide
race.cendreux.name,Cendreux
race.echomorphe.name,Échomorphe
class.guerrier.name,Guerrier
class.mage.name,Mage
class.artisan.name,Artisan
class.chasseur.name,Chasseur
class.marchand.name,Marchand
class.vagabond.name,Vagabond
ui.menu.creation_perso,Création de personnage
ui.menu.race,Race
ui.menu.classe,Classe
ui.menu.points_restants,Points à répartir : {restants} / {total}
ui.menu.commencer,Commencer l'aventure
ui.menu.perso_competences,Compétences de départ : {competences}
ui.menu.perso_or,Or de départ : {or}
category.lingot.name,Lingot
ui.menu.transformations,Fonderie / Transformations
ui.menu.transformer,Transformer
material.lingot_aluminium.name,Lingot d'aluminium
transformation.fonte_aluminium.name,Fonte d'aluminium
material.lingot_antimoine.name,Lingot d'antimoine
transformation.fonte_antimoine.name,Fonte d'antimoine
material.lingot_argent.name,Lingot d'argent
transformation.fonte_argent.name,Fonte d'argent
material.lingot_bismuth.name,Lingot de bismuth
transformation.fonte_bismuth.name,Fonte de bismuth
material.lingot_chrome.name,Lingot de chrome
transformation.fonte_chrome.name,Fonte de chrome
material.lingot_cobalt.name,Lingot de cobalt
transformation.fonte_cobalt.name,Fonte de cobalt
material.lingot_cuivre.name,Lingot de cuivre
transformation.fonte_cuivre.name,Fonte de cuivre
material.lingot_etain.name,Lingot d'étain
transformation.fonte_etain.name,Fonte d'étain
material.lingot_fer.name,Lingot de fer
transformation.fonte_fer.name,Fonte de fer
material.lingot_manganese.name,Lingot de manganèse
transformation.fonte_manganese.name,Fonte de manganèse
material.lingot_nickel.name,Lingot de nickel
transformation.fonte_nickel.name,Fonte de nickel
material.lingot_or.name,Lingot d'or
transformation.fonte_or.name,Fonte d'or
material.lingot_platine.name,Lingot de platine
transformation.fonte_platine.name,Fonte de platine
material.lingot_plomb.name,Lingot de plomb
transformation.fonte_plomb.name,Fonte de plomb
material.lingot_titane.name,Lingot de titane
transformation.fonte_titane.name,Fonte de titane
material.lingot_tungstene.name,Lingot de tungstène
transformation.fonte_tungstene.name,Fonte de tungstène
material.lingot_zinc.name,Lingot de zinc
transformation.fonte_zinc.name,Fonte de zinc
ui.menu.transform_aucune,Aucun minerai brut à transformer.
ui.menu.transform_ligne,{n_in}× {entree} (possédé : {possede}) → {n_out}× {sortie}
biome.desert_froid.name,Désert froid
biome.foret_pluviale_temperee.name,Forêt pluviale tempérée
biome.lande.name,Lande
material.etabli.name,Établi
material.four.name,Four
ui.menu.craft_station,Station : {station} ({etat})
ui.menu.station_dispo,disponible
ui.menu.station_absente,absente de cette cellule
ui.menu.craft_competence,Compétence : {competence} (niv {niveau})
ui.menu.craft_resultat,Résultat : {nom} — qualité ~{palier}
transformation.fab_etabli.name,Fabriquer un établi
transformation.fab_four.name,Fabriquer un four
ui.menu.stats_composant,Composant
ui.menu.stats_produit,Produit
material.scierie.name,Scierie
material.tailleur.name,Tailleur de pierre
material.metier_tisser.name,Métier à tisser
material.alambic.name,Alambic
material.enclume.name,Enclume
material.planches.name,Planches
material.poutre.name,Poutre
material.manche.name,Manche
material.pierre_taillee.name,Pierre taillée
material.dalle.name,Dalle
material.brique_pierre.name,Brique de pierre
material.charbon.name,Charbon de bois
material.fil.name,Fil
material.tissu.name,Tissu
material.corde.name,Corde
material.torche.name,Torche
category.construction.name,Construction
category.textile.name,Textile
category.planches.name,Planches
category.station.name,Station
ui.station.scierie,Scierie
ui.station.tailleur,Tailleur
ui.station.tissage,Métier à tisser
ui.station.alambic,Alambic
ui.station.enclume,Enclume
transformation.fab_scierie.name,Fabriquer une scierie
transformation.fab_tailleur.name,Fabriquer un tailleur de pierre
transformation.fab_metier_tisser.name,Fabriquer un métier à tisser
transformation.fab_alambic.name,Fabriquer un alambic
transformation.fab_enclume.name,Fabriquer une enclume
transformation.alliage_acier.name,Forger de l'acier
transformation.alliage_bronze.name,Forger du bronze
transformation.alliage_laiton.name,Forger du laiton
transformation.charbon_de_bois.name,Charbon de bois
transformation.fonte_verre.name,Fondre du verre
transformation.cuisson_brique.name,Cuire des briques
transformation.debit_planches.name,Débiter des planches
transformation.taille_poutre.name,Tailler une poutre
transformation.taille_manche.name,Tailler des manches
transformation.taille_dalle.name,Tailler des dalles
transformation.taille_brique_pierre.name,Tailler des briques de pierre
transformation.filage.name,Filer
transformation.tissage_tissu.name,Tisser du tissu
transformation.tressage_corde.name,Tresser une corde
transformation.extraction_huile.name,Extraire de l'huile
transformation.fab_torche.name,Fabriquer des torches
item.dague.name,Dague
functionality.dague.name,Dague
item.masse.name,Masse
functionality.masse.name,Masse
item.lance.name,Lance
functionality.lance.name,Lance
item.hache_arme.name,Hache d'armes
functionality.hache_arme.name,Hache d'armes
item.arc.name,Arc
functionality.arc.name,Arc
item.arbalete.name,Arbalète
functionality.arbalete.name,Arbalète
item.baton_magique.name,Bâton magique
functionality.baton_magique.name,Bâton magique
item.faucille.name,Faucille
item.seau.name,Seau
skill.dague.name,Dague
skill.masse.name,Masse
skill.lance.name,Lance
skill.hache_arme.name,Hache d'armes
skill.arc.name,Arc
skill.arbalete.name,Arbalète
skill.baton_magique.name,Bâton magique
functionality.recolte_herboristerie.name,Outil de récolte
functionality.recolte_collecte.name,Outil de collecte
ui.menu.craft_a_la_main,À la main (inventaire)
ui.menu.voyage_en_cours,Voyage en cours...
ui.toast.mange,{item} mangé (+{faim} faim)
ui.toast.pas_comestible,Rien de comestible en main
ui.toast.rassasie,Vous n'avez pas faim
item.casque.name,Casque
item.cuirasse.name,Cuirasse
item.jambieres.name,Jambières
item.bottes.name,Bottes
item.gants.name,Gants
ui.toast.equipe,{item} équipé
ui.toast.desequipe,{item} retiré
ui.toast.pas_equipable,Cet objet ne s'équipe pas
ui.equipement.titre,Équipement
ui.equipement.vide,(vide)
ui.equipement.protection,Protection : {des}
ui.slot.tete,Tête
ui.slot.torse,Torse
ui.slot.jambes,Jambes
ui.slot.pieds,Pieds
ui.slot.mains,Mains
ui.slot.anneau_1,Anneau 1
ui.slot.anneau_2,Anneau 2
ui.slot.amulette,Amulette
ui.slot.arme_1,Arme 1
ui.slot.arme_2,Arme 2
ui.slot.accessoire_1,Accessoire 1
ui.slot.accessoire_2,Accessoire 2
ui.slot.dos,Dos
ui.toast.mort,Vous êtes mort — {or} or et {objets} objet(s) laissés sur place
ui.toast.ramasse,Récupéré : {objets} objet(s) et {or} or
creature.villageois.name,Villageois
creature.fermier.name,Fermier
creature.forgeron.name,Forgeron
creature.marchand_ambulant.name,Marchand ambulant
creature.garde_village.name,Garde de village
creature.pretre_sanctuaire.name,Prêtre de sanctuaire
creature.erudit.name,Érudit
creature.tavernier.name,Tavernier
creature.chasseur.name,Chasseur
creature.nomade.name,Nomade
creature.maitre_guilde.name,Maître de guilde
creature.souverain.name,Souverain
creature.bandit.name,Bandit
creature.chef_de_bande.name,Chef de bande
creature.braconnier.name,Braconnier
creature.pillard.name,Pillard
creature.deserteur.name,Déserteur
creature.ermite.name,Ermite
culture.latine.name,Latine
culture.nordique.name,Nordique
culture.sino.name,Sino
culture.nipponne.name,Nipponne
culture.slave.name,Slave
culture.arabo.name,Arabo-berbère
culture.celte.name,Celte
culture.sylvestre.name,Sylvestre
culture.ignee.name,Ignée
culture.resonance.name,Résonance
material.viande.name,Viande
material.peau.name,Peau
ui.toast.depecage,{creature} dépecé : {portions} portion(s) de viande
ui.type.viande,Viande
ui.type.peau,Peau
ui.type.armure,Armure
ui.type.ressource,Ressource
ui.menu.hotbar,Barre d'accès rapide
ui.menu.hotbar_aide,Glissez un objet vers un emplacement · clic droit pour le vider · Ctrl+1-9 change de banque en jeu
ui.menu.hotbar_vide,Emplacement libre
ui.menu.hotbar_badge,[{banque}-{slot}]
ui.menu.action.infos,Plus d'infos
ui.menu.action.equiper,Équiper
ui.menu.action.hotbar,Placer dans la barre
ui.menu.action.banque,Banque {banque}
ui.menu.action.slot,Emplacement {slot}
ui.menu.action.retirer_hotbar,Retirer de la barre
ui.menu.action.deposer,Déposer au sol
ui.menu.detail.nutrition,Nutrition : {faim} (cru : {cru})
ui.menu.detail.potentiel,Potentiel {stat} : +{valeur}
ui.menu.detail.emplacement,S'équipe en : {slot}
ui.toast.depose,Déposé au sol
material.lit.name,Lit
transformation.fab_lit.name,Fabriquer un lit
ui.toast.pas_de_lit,Visez un lit pour dormir
ui.toast.pas_la_nuit,Vous ne pouvez dormir que la nuit
ui.toast.reveil,Vous vous réveillez à l'aube, reposé
plat.viande_grillee.name,Viande grillée
plat.ragout.name,Ragoût
plat.pain.name,Pain
plat.soupe_de_legumes.name,Soupe de légumes
skill.cuisine.name,Cuisine
material.fourneau.name,Fourneau
transformation.fab_fourneau.name,Fabriquer un fourneau
ui.toast.potentiel,Potentiel amélioré : {details}
ui.carte.heure,{heure} — {phase}
ui.phase.aube,Aube
ui.phase.jour,Jour
ui.phase.crepuscule,Crépuscule
ui.phase.nuit,Nuit
ui.donjon.tour,Vous pénétrez dans la tour...
ui.toast.incassable,Ce bloc est indestructible
ui.menu.supprimer,Supprimer
ui.menu.supprimer_confirme,Supprimer définitivement « {monde} » ? Cette action est irréversible.
ui.menu.nb_mondes,{nb} monde(s) sauvegardé(s)
material.chair_noire.name,Chair noire
material.os_calcine.name,Os calciné
material.basalte_maudit.name,Basalte maudit
material.scorie_ardente.name,Scorie ardente
material.croute_demoniaque.name,Croûte démoniaque
item.epee_courte.name,Épée courte
functionality.epee_courte.name,Épée courte
item.espadon.name,Espadon
functionality.espadon.name,Espadon
item.rapiere.name,Rapière
functionality.rapiere.name,Rapière
item.hachette.name,Hachette
functionality.hachette.name,Hachette
item.hache_double.name,Hache double
functionality.hache_double.name,Hache double
item.hallebarde.name,Hallebarde
functionality.hallebarde.name,Hallebarde
item.trident.name,Trident
functionality.trident.name,Trident
item.faux_de_guerre.name,Faux de guerre
functionality.faux_de_guerre.name,Faux de guerre
item.marteau_guerre.name,Marteau de guerre
functionality.marteau_guerre.name,Marteau de guerre
item.masse_ailettes.name,Masse à ailettes
functionality.masse_ailettes.name,Masse à ailettes
item.gourdin.name,Gourdin
functionality.gourdin.name,Gourdin
item.pioche_combat.name,Pioche de combat
functionality.pioche_combat.name,Pioche de combat
item.baton_ferre.name,Bâton ferré
functionality.baton_ferre.name,Bâton ferré
ui.combat.coup_glissant,"Coup glissant — trop près, frappé au manche"
ui.combat.chambering,Parade parfaite — les armes s'entrechoquent
ui.menu.craft_gemme,Gemme (sertissage)
ui.menu.gemme_aucune,aucune
ui.menu.gemme_sans,Sans gemme : l'arme ne pourra pas être enchantée.
ui.menu.gemme_effet,Sertie : conductivité de mana {mana} · +{poids} kg. Aucun effet sur les dégâts.
ui.menu.section_etat,État
ui.menu.section_attributs,Attributs
ui.gauge.vie,Vie
ui.gauge.mana,Mana
ui.gauge.faim,Faim
ui.gauge.fatigue,Fatigue
ui.gauge.endurance,Endurance
ui.hud.bloc_systeme,Système
ui.hud.bloc_lieu,Lieu
ui.hud.bloc_cible,Cible
ui.hud.bloc_modules,Modules
ui.hud.cle.fps,FPS
ui.hud.cle.chunks,Chunks
ui.hud.cle.meshing,Meshing
ui.hud.cle.position,Position
ui.hud.cle.biome,Biome
ui.hud.cle.temperature,Température
ui.hud.cle.fertilite,Fertilité
ui.hud.cle.cellule,Cellule
ui.hud.cle.grille,Grille
ui.hud.cle.materiau,Bloc
ui.hud.cle.outil,Outil
ui.hud.cle.creature,Créature
ui.hud.cle.module_j,Touche J
ui.hud.cle.module_k,Touche K
ui.hud.cle.module_l,Touche L
ui.hud.chunks_valeur,{meshes} · {cache} en cache · {file} en file
ui.hud.meshing_valeur,{moyen} ms · {max} ms max
ui.hud.grille_valeur,{res} px
ui.hud.module_valeur,{nom} ({cout} mana)
ui.hud.cible_rebond_valeur,{materiau} — l'outil rebondit !
